85629	44050	
117812	18568	
76867	98860	
115388	3230	
67121	47239	
74012	89003	
32920	24114	
125327	14548	
64373	37153	
75501	19066	
98196	6022	
49754	57989	
14213	21384	
67657	77676	
136156	7939	
98351	41988	
140914	85244	
22594	39619	
108378	20958	
24063	29263	
133518	80342	
10938	84776	
14022	51719	
145248	77551	
149434	32363	
68217	73010	
57968	99240	
29114	11765	
76655	59242	
108022	79998	
52084	40290	
37428	46844	
98401	63067	
8972	96181	
21667	8116	
52732	63723	
145053	85855	
136791	28363	
111168	80278	
38780	41778	
93916	38612	
71748	47419	
72992	19511	
13573	74185	
33005	59344	
68468	46286	
105785	42468	
9623	10806	
117023	8899	
112440	48243	
110643	24290	
65510	21701	
6035	39607	
13958	95077	
13593	53361	
77878	37519	
112446	2193	
71730	56682	
114905	34600	
60960	90614	
38308	86287	
26885	57616	
136639	36573	
60715	74980	
134414	28489	
27578	4528	
145261	2524	
97538	26097	
86420	80689	
141291	15469	
70422	27885	
70724	70332	
131555	89429	
19176	96115	
45614	32848	
26350	7054	
24568	84474	
24303	12122	
93339	27777	
94291	74428	
110243	76224	
80452	28449	
134006	98390	
87172	39715	
57429	71810	
126139	55765	
73450	35709	
2616	78252	
147361	33716	
140248	57738	
92932	35361	
39717	11111	
108382	48933	
11205	14910	
10449	98852	
57588	30929	
67346	19517	
43932	24634	
133666	76580	
131712	43312	
143128	41501	
138520	94546	
140922	8503	
83031	21043	
99131	76291	
125272	54146	
59822	85232	
36823	86036	
51800	67141	
73948	87952	
131076	91706	
102514	50583	
15888	35123	
121381	57295	
143508	27193	
99994	24682	
24147	86487	
15368	6647	
121161	71214	
73364	96133	
33269	95381	
91628	53935	
60977	84529	
141801	83209	
114476	73677	
71463	85158	
28808	44790	
146384	2659	
142623	42742	
87732	2003	
33232	35307	
149333	11815	
91000	39554	
63263	6809	
12604	37173	
100709	23062	
83187	39775	
143174	45351	
122880	88184	
22159	40410	
24444	92242	
120298	25522	
111298	1166	
77027	68679	
17780	72443	
4603	25530	
138028	92812	
71350	53562	
17788	44757	
44880	82316	
89223	55458	
85964	38267	
90536	19956	
102620	9596	
27552	47545	
7100	36764	
124782	39559	
5353	37128	
103926	39732	
104768	41945	
129620	34773	
88080	51930	
84569	65425	
122017	93431	
149972	67297	
97582	72804	
92349	70567	
43518	89191	
89498	72840	
24065	71427	
73556	76232	
32998	9825	
137012	32992	
88009	15453	
148759	26174	
10664	80939	
108625	75641	
85127	20197	
37901	3854	
63290	56306	
13458	27101	
86672	69876	
109650	89082	
59727	40621	
86204	29360	
79434	12239	
26913	16600	
83935	9343	
103220	10994	
124540	90629	
34538	5310	
76226	58451	
110192	50234	
104546	99248	
110076	6360	
107204	28287	
56012	16122	
5239	62001	
53211	9581	
43907	96707	
49330	8479	
56841	7605	
56571	77567	
57516	94921	
9376	24560	
132873	80084	
9250	60329	
6545	35652	
470	81708	
19159	74350	
40617	29249	
71557	69587	
140789	6638	
43273	37582	
112187	90357	
141773	84253	
127584	14058	
50148	61897	
44373	7631	
95872	23187	
3726	23279	
66785	48253	
121844	82611	
2200	97299	
7301	22564	
10889	58164	
122393	79582	
5343	65825	
40432	26924	
4313	96832	
67143	45798	
119506	4525	
114842	7204	
27743	85598	
129587	4670	
56401	76977	
115568	79682	
41290	33429	
113827	8432	
110124	62834	
68659	31605	
99645	40534	
132015	88514	
122007	97916	
32355	93321	
38523	19931	
28963	692	
30390	7976	
7588	16066	
125212	49577	
126986	44574	
96753	16728	
49916	40893	
129927	1808	
40948	48020	
21345	73078	
49010	59252	
116997	46535	
4704	3331	
24464	17658	
44577	44280	
59796	31410	
143218	22259	
149245	59491	
141762	2870	
134545	286	
95838	15844	
102389	26714	
100789	20469	
15116	64897	
143818	48787	
29450	71060	
69528	26420	
13655	33276	
33808	74580	
67808	90958	
21933	47150	
78327	2586	
132633	40918	
5786	90065	
7448	68407	
115329	21104	
50690	83716	
127441	79725	
138495	50237	
59486	42365	
14970	34560	
7005	58431	
4344	62697	
144439	58473	
77362	61896	
81081	97709	
22717	23294	
48040	15623	
121355	68915	
54962	39014	
9322	82934	
138960	67188	
104827	33202	
125304	49412	
84733	35850	
29311	90135	
84040	62641	
56204	11435	
10773	7272	
104343	93441	
123898	18581	
94032	13769	
35684	80540	
66908	32940	
16509	5789	
144329	68150	
102109	85353	
18371	81054	
6460	5186	
129968	8371	
143445	10703	
107173	88388	
28311	73209	
77484	57996	
72757	99972	
123869	53145	
101773	62157	
121993	51480	
14918	43837	
40229	46494	
18722	58055	
35699	80949	
10163	8804	
22653	18145	
7594	27784	
125179	19182	
119482	6144	
90372	27512	
55163	38315	
46016	12471	
61915	53298	
118268	39845	
9374	40037	
57623	65932	
131286	47956	
11273	14161	
125471	63974	
6532	64631	
118289	76410	
77202	98418	
58328	60888	
47054	49545	
10320	5586	
93967	72199	
58937	39708	
8046	38814	
95466	63621	
44168	1912	
24386	79281	
17007	68827	
59050	75573	
142300	75992	
79751	14287	
90191	2641	
46683	5215	
46871	53445	
33835	79365	
25468	13081	
51947	65848	
137690	90788	
115109	9760	
32280	4119	
113656	19730	
76470	8135	
103117	67942	
48278	8088	
13653	6453	
27408	90280	
59679	94388	
27705	30166	
66294	96616	
24767	17773	
55014	93349	
75243	81392	
70495	51335	
109497	77220	
149826	70412	
132067	29748	
68504	52428	
142617	69893	
37810	53206	
6221	22360	
22779	32136	
21179	2325	
82602	26250	
76630	5337	
129124	20520	
33934	12031	
122638	19754	
144349	56388	
122640	22866	
9216	72826	
147700	626	
61811	61771	
131118	44999	
96325	60584	
56854	67349	
73067	26669	
34128	28897	
35616	14770	
14605	9765	
96826	43601	
57194	467	
135624	57710	
29766	90890	
41783	48456	
75394	39342	
101540	80731	
83072	83623	
62156	10063	
96814	4856	
79503	3041	
132028	76153	
66322	40268	
88216	79860	
996	54164	
13707	16665	
110633	84111	
29149	92478	
68690	47216	
55891	67127	
74349	31248	
4537	44877	
117352	47387	
124122	4638	
135073	70229	
23260	45106	
55385	50439	
62297	51349	
122664	14826	
78839	73621	
94074	77455	
92921	18458	
39958	99176	
41871	50397	
10975	63830	
52873	31942	
114995	67728	
103513	70662	
132641	34829	
110453	71853	
48535	83375	
132779	7177	
118234	53420	
148288	32829	
67935	33722	
77617	66489	
132086	72822	
99707	63163	
133174	41393	
137045	66722	
104531	73303	
65435	13035	
144524	12829	
9078	4042	
91969	11014	
134342	57031	
51906	76819	
17809	64434	
86819	38949	
58726	65828	
82380	97232	
78906	23124	
84108	65854	
119060	73490	
139053	62748	
136372	98051	
38370	81701	
24269	14746	
90269	5609	
86468	74224	
11422	32762	
101120	79455	
142934	75347	
21201	99553	
76362	89862	
55790	93279	
83746	46112	
28918	20793	
146320	54650	
139224	40978	
99438	38719	
40782	69780	
141265	32181	
59236	29383	
90970	87082	
65911	5193	
77995	26653	
3912	71211	
8039	97189	
108047	61000	
68721	19778	
60541	59619	
73862	3774	
88730	95548	
19223	99328	
42924	8878	
108143	17165	
137369	81768	
103155	731	
84228	8902	
41319	91187	
105955	81483	
41037	31714	
13985	87645	
98792	65820	
12351	93277	
13871	32366	
96454	80450	
